measure,Date,Value
1st Percentile,2020-02,-16.20201539934512
25th Percentile,2020-02,-0.09753239732940736
Median,2020-02,1.7026784178459744
75th Percentile,2020-02,3.3136707897688056
99th Percentile,2020-02,13.163957956834793
Average,2020-02,1.0834186876328806
1st Percentile,2020-03,-18.799148198412546
25th Percentile,2020-03,-0.4561938159853814
Median,2020-03,1.530446405893043
75th Percentile,2020-03,3.2110421210234983
99th Percentile,2020-03,21.778776526351063
Average,2020-03,1.3708001282062372
1st Percentile,2020-04,-33.20601100246137
25th Percentile,2020-04,-0.8287308654643897
Median,2020-04,1.4591227026953253
75th Percentile,2020-04,3.2476500044189507
99th Percentile,2020-04,17.949188050995105
Average,2020-04,0.7089155720909279
1st Percentile,2020-05,-37.53001437252402
25th Percentile,2020-05,-1.1148345227955327
Median,2020-05,1.7924277606623726
75th Percentile,2020-05,3.4849505003232286
99th Percentile,2020-05,18.343247639897132
Average,2020-05,0.2647832266793303
1st Percentile,2020-06,-30.00514978802662
25th Percentile,2020-06,-1.4641270159775022
Median,2020-06,1.806795146238259
75th Percentile,2020-06,3.5892459453997634
99th Percentile,2020-06,24.951061954712113
Average,2020-06,0.4031354664410563
1st Percentile,2020-07,-25.082882091627077
25th Percentile,2020-07,-1.279432263038258
Median,2020-07,1.5005855631108962
75th Percentile,2020-07,3.7361755297885364
99th Percentile,2020-07,14.235294855532239
Average,2020-07,0.5651325961253322
1st Percentile,2020-08,-22.946250448949133
25th Percentile,2020-08,-0.6374900273552198
Median,2020-08,1.7545445698813456
75th Percentile,2020-08,3.9648157970129314
99th Percentile,2020-08,10.800198831773205
Average,2020-08,0.7531059913427691
1st Percentile,2020-09,-22.852232358762976
25th Percentile,2020-09,0.07932393563189671
Median,2020-09,1.8357201385488595
75th Percentile,2020-09,4.009844688488472
99th Percentile,2020-09,10.280784746472346
Average,2020-09,1.1166502211301013
1st Percentile,2020-10,-18.220791317854772
25th Percentile,2020-10,-0.23353929815758293
Median,2020-10,1.681794851324928
75th Percentile,2020-10,3.395515380712776
99th Percentile,2020-10,13.81101204543575
Average,2020-10,1.3957383075285041
1st Percentile,2020-11,-17.25242889884887
25th Percentile,2020-11,-0.20495040014359645
Median,2020-11,1.772210063177721
75th Percentile,2020-11,3.4271599062175038
99th Percentile,2020-11,15.804843166574722
Average,2020-11,1.3743475793257196
1st Percentile,2020-12,-16.426479599119205
25th Percentile,2020-12,-0.23903106861500978
Median,2020-12,2.005439712129511
75th Percentile,2020-12,3.6660668323990038
99th Percentile,2020-12,16.778531151553054
Average,2020-12,1.2610418696924026
1st Percentile,2021-01,-17.818296871814415
25th Percentile,2021-01,-0.7886793020580685
Median,2021-01,2.0548579285107826
75th Percentile,2021-01,3.6202873694392483
99th Percentile,2021-01,13.968316207363404
Average,2021-01,1.2145622009461763
1st Percentile,2021-02,-17.76952081012484
25th Percentile,2021-02,-0.30056292738753315
Median,2021-02,1.987895350836146
75th Percentile,2021-02,4.181708574661788
99th Percentile,2021-02,15.459453775411225
Average,2021-02,1.7468118007248308
1st Percentile,2021-03,-17.998626856028903
25th Percentile,2021-03,0.1296945383859539
Median,2021-03,1.9902799388897856
75th Percentile,2021-03,4.4479968779448065
99th Percentile,2021-03,22.373374611519715
Average,2021-03,1.989909376528822
1st Percentile,2021-04,-17.462936157815296
25th Percentile,2021-04,0.2855977165890151
Median,2021-04,2.1909631832491576
75th Percentile,2021-04,4.663880620635149
99th Percentile,2021-04,37.37479754744704
Average,2021-04,3.2740107244404135
1st Percentile,2021-05,-19.176675575984163
25th Percentile,2021-05,0.4101894591675848
Median,2021-05,2.3666068608078987
75th Percentile,2021-05,5.158616193460378
99th Percentile,2021-05,50.871707332139174
Average,2021-05,4.235783910464394
1st Percentile,2021-06,-17.788711843848457
25th Percentile,2021-06,0.5130944158612393
Median,2021-06,2.340846700973922
75th Percentile,2021-06,5.3869151269775735
99th Percentile,2021-06,45.18405686551904
Average,2021-06,4.395690514754501
1st Percentile,2021-07,-16.691690158542304
25th Percentile,2021-07,1.111896665914756
Median,2021-07,3.3333901646304662
75th Percentile,2021-07,5.680742602107905
99th Percentile,2021-07,41.94735811606346
Average,2021-07,4.621049142213792
1st Percentile,2021-08,-15.107045428953935
25th Percentile,2021-08,0.9950127066713728
Median,2021-08,3.2962493555836887
75th Percentile,2021-08,6.902655550533458
99th Percentile,2021-08,33.295577930553414
Average,2021-08,4.395292915956264
1st Percentile,2021-09,-14.73860207693886
25th Percentile,2021-09,1.3526200545287435
Median,2021-09,3.180849038442843
75th Percentile,2021-09,6.317000309881764
99th Percentile,2021-09,41.90753875145626
Average,2021-09,4.235725339807784
1st Percentile,2021-10,-19.841675561479654
25th Percentile,2021-10,1.8063684439136882
Median,2021-10,3.9539044422511065
75th Percentile,2021-10,6.916522675772931
99th Percentile,2021-10,38.92722737577363
Average,2021-10,4.696260645911628
1st Percentile,2021-11,-11.585014145134972
25th Percentile,2021-11,2.074778182882249
Median,2021-11,4.081477860962045
75th Percentile,2021-11,7.1632565994840025
99th Percentile,2021-11,36.807190550048766
Average,2021-11,5.257038682375271
1st Percentile,2021-12,-8.610407522319047
25th Percentile,2021-12,2.205131176091231
Median,2021-12,4.617483553908633
75th Percentile,2021-12,7.406614560403109
99th Percentile,2021-12,36.51578199388217
Average,2021-12,5.695449164336621
1st Percentile,2022-01,-7.1757553961421525
25th Percentile,2022-01,2.395508950410981
Median,2022-01,4.853258823077845
75th Percentile,2022-01,7.8641507329139895
99th Percentile,2022-01,40.013096114294655
Average,2022-01,5.9255347311493765
1st Percentile,2022-02,-7.8454419494766405
25th Percentile,2022-02,2.2774119440821563
Median,2022-02,4.921047462100295
75th Percentile,2022-02,8.107592927423326
99th Percentile,2022-02,40.43500592366947
Average,2022-02,6.023777155141155
1st Percentile,2022-03,-20.200167344304425
25th Percentile,2022-03,2.4170132914878644
Median,2022-03,4.785129055476883
75th Percentile,2022-03,8.727415942738535
99th Percentile,2022-03,35.88374591758844
Average,2022-03,6.431575074160975
1st Percentile,2022-04,-11.46419827991513
25th Percentile,2022-04,2.1120614826999518
Median,2022-04,4.817886956466304
75th Percentile,2022-04,9.07681782604432
99th Percentile,2022-04,32.09928631158145
Average,2022-04,6.228388142851763
1st Percentile,2022-05,-13.242528328566245
25th Percentile,2022-05,2.2857728303862883
Median,2022-05,4.7935724568762526
75th Percentile,2022-05,9.017114454931122
99th Percentile,2022-05,33.933776129860696
Average,2022-05,6.409564897124135
1st Percentile,2022-06,-12.97964221996245
25th Percentile,2022-06,2.8025310103675984
Median,2022-06,5.563822444103403
75th Percentile,2022-06,8.96062635678981
99th Percentile,2022-06,38.62050487599466
Average,2022-06,6.502498018073062
1st Percentile,2022-07,-13.905794834581581
25th Percentile,2022-07,2.6579171064838514
Median,2022-07,5.753256343658873
75th Percentile,2022-07,8.885560255488256
99th Percentile,2022-07,38.0831208075743
Average,2022-07,6.068182894010539
1st Percentile,2022-08,-13.821102492247508
25th Percentile,2022-08,2.856215620940376
Median,2022-08,5.531005562256273
75th Percentile,2022-08,9.017060702355753
99th Percentile,2022-08,36.794162529267446
Average,2022-08,6.324900299458715
1st Percentile,2022-09,-16.66081696064979
25th Percentile,2022-09,2.818284280415711
Median,2022-09,5.687039849713114
75th Percentile,2022-09,10.035316766433343
99th Percentile,2022-09,36.69587383962391
Average,2022-09,6.7589233160906845
